class_,condition,rep,lib,barcode,batch,nCounts,mito_pct, Immgen_type,sub_type,x,y,cell_id
B cells,healthy,Healthy 2,h_2_3,bc0950,round3_20160313,1620,9.444,B_FrF_BM,B cells,195.820355758,287.453810007,h_2_3:bc0950
B cells,healthy,Healthy 1,h_1_1,bc1426,round1_20151128,2544,1.14,B_Fo_MLN,B cells,259.869593844,360.255139182,h_1_1:bc1426
B cells,healthy,Healthy 1,h_1_1,bc0704,round1_20151128,2670,5.056,B_Fo_MLN,B cells,253.45428939,328.658431742,h_1_1:bc0704
B cells,healthy,Healthy 2,h_2_3,bc0701,round3_20160313,1743,9.466,B1a_Sp,B cells,264.298924731,276.708007091,h_2_3:bc0701
B cells,healthy,Healthy 2,h_2_1,bc1273,round2_20151217,1378,2.467,B_Fo_MLN,B cells,257.167699685,258.007587745,h_2_1:bc1273
B cells,healthy,Healthy 1,h_1_1,bc1543,round1_20151128,2354,7.986,B_T1_Sp,B cells,179.33486823,361.769842439,h_1_1:bc1543
B cells,healthy,Healthy 2,h_2_3,bc0734,round3_20160313,1605,8.349,B_Fo_MLN,B cells,225.338585129,262.575045279,h_2_3:bc0734
B cells,healthy,Healthy 1,h_1_1,bc1402,round1_20151128,2415,4.803,B_Fo_MLN,B cells,245.639330307,352.430713074,h_1_1:bc1402
B cells,healthy,Healthy 2,h_2_1,bc1257,round2_20151217,1555,3.215,B_Fo_MLN,B cells,276.485454274,357.657522335,h_2_1:bc1257
B cells,healthy,Healthy 1,h_1_1,bc0978,round1_20151128,2520,4.722,B_Fo_Sp,B cells,249.672893247,330.506195269,h_1_1:bc0978
B cells,healthy,Healthy 1,h_1_1,bc1210,round1_20151128,2830,6.749,B_Fo_MLN,B cells,288.150684894,331.458779499,h_1_1:bc1210
B cells,healthy,Healthy 1,h_1_1,bc1263,round1_20151128,2466,6.123,B_Fo_MLN,B cells,270.08195954,325.817561121,h_1_1:bc1263
B cells,healthy,Healthy 2,h_2_1,bc0906,round2_20151217,1751,1.199,B_Fo_MLN,B cells,286.158366724,287.300149619,h_2_1:bc0906
B cells,healthy,Healthy 2,h_2_2,bc702,round3_20160313,1149,8.877,B_Fo_MLN,B cells,172.187431861,323.114617455,h_2_2:bc702
B cells,healthy,Healthy 2,h_2_2,bc360,round3_20160313,1612,8.251,B_Fo_Sp,B cells,175.860891673,254.989671791,h_2_2:bc360
B cells,healthy,Healthy 2,h_2_2,bc681,round3_20160313,1253,9.338,B_Fo_MLN,B cells,172.216175263,282.605076318,h_2_2:bc681
B cells,healthy,Healthy 2,h_2_2,bc363,round3_20160313,2081,9.515,B_Fo_MLN,B cells,188.668015102,276.069566791,h_2_2:bc363
B cells,healthy,Healthy 1,h_1_1,bc1628,round1_20151128,1812,8.278,B_Fo_MLN,B cells,200.076785982,324.092930209,h_1_1:bc1628
B cells,healthy,Healthy 1,h_1_1,bc1443,round1_20151128,2154,5.757,B1a_PC,B cells,239.359721931,356.044446906,h_1_1:bc1443
B cells,healthy,Healthy 2,h_2_1,bc1304,round2_20151217,1685,0.89,B1a_Sp,B cells,287.513256353,312.818852467,h_2_1:bc1304
B cells,healthy,Healthy 2,h_2_2,bc278,round3_20160313,2527,8.983,B_FrF_BM,B cells,263.356429362,281.603101488,h_2_2:bc278
B cells,healthy,Healthy 1,h_1_1,bc0948,round1_20151128,3160,4.557,B_Fo_MLN,B cells,251.92932605,320.356677073,h_1_1:bc0948
B cells,healthy,Healthy 2,h_2_3,bc0835,round3_20160313,1485,9.832,B_Fo_MLN,B cells,177.522383298,301.359179576,h_2_3:bc0835
B cells,healthy,Healthy 2,h_2_3,bc0791,round3_20160313,1772,8.352,B_Fo_MLN,B cells,197.107539781,258.832154316,h_2_3:bc0791
B cells,healthy,Healthy 2,h_2_1,bc1122,round2_20151217,1496,3.142,B_Fo_MLN,B cells,290.811476714,360.608470629,h_2_1:bc1122
B cells,healthy,Healthy 1,h_1_2,bc1110,round3_20160313,1241,9.75,B_Fo_MLN,B cells,175.636678262,300.811084184,h_1_2:bc1110
B cells,healthy,Healthy 1,h_1_1,bc0742,round1_20151128,3039,7.141,B_Fo_MLN,B cells,246.550171762,323.904438628,h_1_1:bc0742
B cells,healthy,Healthy 2,h_2_1,bc1138,round2_20151217,1635,4.832,B1a_Sp,B cells,306.159494759,353.988601498,h_2_1:bc1138
B cells,healthy,Healthy 1,h_1_1,bc0904,round1_20151128,3000,4.167,B_Fo_MLN,B cells,193.461526167,339.814797312,h_1_1:bc0904
B cells,healthy,Healthy 1,h_1_1,bc1244,round1_20151128,2139,4.254,B_Fo_MLN,B cells,243.434464943,336.454018206,h_1_1:bc1244
B cells,healthy,Healthy 1,h_1_1,bc0677,round1_20151128,3126,8.125,B_Fo_MLN,B cells,257.090757927,292.024983009,h_1_1:bc0677
B cells,healthy,Healthy 2,h_2_1,bc1367,round2_20151217,1166,3.859,B1a_Sp,B cells,301.237608514,353.040803643,h_2_1:bc1367
B cells,healthy,Healthy 2,h_2_1,bc1276,round2_20151217,1163,2.752,B_Fo_MLN,B cells,296.476842386,372.447946008,h_2_1:bc1276
B cells,healthy,Healthy 1,h_1_1,bc1059,round1_20151128,3242,7.434,B1a_Sp,B cells,201.799483019,265.532273889,h_1_1:bc1059
B cells,healthy,Healthy 2,h_2_1,bc1337,round2_20151217,1474,6.174,B_Fo_MLN,B cells,261.959894487,352.690626842,h_2_1:bc1337
B cells,healthy,Healthy 2,h_2_2,bc495,round3_20160313,1592,6.972,B_T1_Sp,B cells,150.555016855,335.690888567,h_2_2:bc495
B cells,healthy,Healthy 1,h_1_1,bc1248,round1_20151128,3436,8.033,B_Fo_MLN,B cells,240.441603398,314.392070324,h_1_1:bc1248
B cells,healthy,Healthy 1,h_1_1,bc1651,round1_20151128,1735,8.761,B_Fo_MLN,B cells,271.350724436,315.48010281,h_1_1:bc1651
B cells,healthy,Healthy 1,h_1_1,bc1633,round1_20151128,1604,7.232,B_Fo_MLN,B cells,252.561801579,319.05641713,h_1_1:bc1633
B cells,healthy,Healthy 2,h_2_1,bc0161,round2_20151217,3007,6.884,B1a_Sp,B cells,315.250139545,367.268082105,h_2_1:bc0161
B cells,healthy,Healthy 2,h_2_1,bc1414,round2_20151217,1180,0.254,B_Fo_MLN,B cells,240.814871749,378.617049005,h_2_1:bc1414
B cells,healthy,Healthy 1,h_1_1,bc0894,round1_20151128,3092,5.821,B1a_Sp,B cells,234.453038613,323.153151895,h_1_1:bc0894
B cells,healthy,Healthy 1,h_1_1,bc1508,round1_20151128,2345,4.989,B_Fo_MLN,B cells,200.353767899,320.024333117,h_1_1:bc1508
B cells,healthy,Healthy 2,h_2_1,bc1528,round2_20151217,1714,2.334,B_Fo_MLN,B cells,342.858783268,377.130895465,h_2_1:bc1528
B cells,healthy,Healthy 2,h_2_2,bc771,round3_20160313,1217,8.217,B_Fo_MLN,B cells,170.358773171,275.356952206,h_2_2:bc771
B cells,healthy,Healthy 2,h_2_1,bc1441,round2_20151217,1065,5.728,B_Fo_MLN,B cells,301.671881114,308.053167119,h_2_1:bc1441
B cells,healthy,Healthy 2,h_2_1,bc0745,round2_20151217,1624,1.909,B_Fo_MLN,B cells,313.741193047,386.092425947,h_2_1:bc0745
B cells,healthy,Healthy 1,h_1_2,bc1191,round3_20160313,1174,8.007,B_Fo_MLN,B cells,220.680685104,271.136176347,h_1_2:bc1191
B cells,healthy,Healthy 2,h_2_1,bc1201,round2_20151217,1344,4.688,B_Fo_MLN,B cells,314.915215756,378.148342648,h_2_1:bc1201
B cells,healthy,Healthy 1,h_1_1,bc0235,round1_20151128,3861,8.418,B1a_Sp,B cells,243.540869853,357.166650056,h_1_1:bc0235
MoMacDC,healthy,Healthy 2,h_2_3,bc1370,round3_20160313,1032,4.264,Mo_Lu,Mono1,1445.95256946,-145.883454066,h_2_3:bc1370
MoMacDC,healthy,Healthy 2,h_2_3,bc0010,round3_20160313,4982,3.874,DC_103+11b-_Lu,DC2,1026.40166789,-66.2443009724,h_2_3:bc0010
MoMacDC,healthy,Healthy 2,h_2_2,bc714,round3_20160313,1352,4.068,MF_PPAR-_Lu,Mac4,1254.26643714,170.928256948,h_2_2:bc714
MoMacDC,healthy,Healthy 2,h_2_2,bc014,round3_20160313,4536,3.461,Mo_6C+II-_LN,Mono1,1433.83539934,-130.417111279,h_2_2:bc014
MoMacDC,healthy,Healthy 2,h_2_1,bc0960,round2_20151217,3414,1.377,MF_PPAR-_Lu,Mac4,1140.0389835,171.689309939,h_2_1:bc0960
MoMacDC,healthy,Healthy 2,h_2_3,bc0224,round3_20160313,3962,5.603,Mo_Lu,Mono1,1448.34021038,-121.476480104,h_2_3:bc0224
MoMacDC,healthy,Healthy 2,h_2_2,bc710,round3_20160313,2052,4.288,Mo_6C-IIint_Bl,Mono2,1522.39603591,-288.510642368,h_2_2:bc710
MoMacDC,healthy,Healthy 1,h_1_1,bc0150,round1_20151128,6971,1.42,GN_Arth_SynF,Mono3,1403.38415812,-321.935551735,h_1_1:bc0150
MoMacDC,healthy,Healthy 2,h_2_1,bc0280,round2_20151217,3867,0.802,MF_Lu,Mac4,1261.49119117,172.411373463,h_2_1:bc0280
MoMacDC,healthy,Healthy 1,h_1_1,bc0363,round1_20151128,4350,2.276,Mo_6C+II-_LN,Mono2,1431.58817651,-279.801505491,h_1_1:bc0363
MoMacDC,healthy,Healthy 2,h_2_1,bc0416,round2_20151217,2894,0.484,MF_PPAR-_Lu,Mac4,1280.33574923,146.632686921,h_2_1:bc0416
MoMacDC,healthy,Healthy 2,h_2_3,bc0062,round3_20160313,4236,3.423,MF_Lu,Mac4,1308.04217256,154.794781883,h_2_3:bc0062
MoMacDC,healthy,Healthy 2,h_2_1,bc1094,round2_20151217,1919,0.677,MF_Lu,Mac4,1278.91828086,149.162176844,h_2_1:bc1094
MoMacDC,healthy,Healthy 2,h_2_1,bc1582,round2_20151217,1354,1.034,MF_PPAR-_Lu,Mac4,1216.33208803,107.889648249,h_2_1:bc1582
MoMacDC,healthy,Healthy 1,h_1_2,bc0845,round3_20160313,1668,1.679,Mo_6C+II-_LN,Mono1,1450.32028272,-82.5885236123,h_1_2:bc0845
MoMacDC,healthy,Healthy 1,h_1_1,bc0987,round1_20151128,3933,1.5,Mo_6C+II-_LN,Mono2,1463.78609497,-269.814145629,h_1_1:bc0987
MoMacDC,healthy,Healthy 2,h_2_1,bc0224,round2_20151217,2851,1.122,MF_PPAR-_Lu,Mac4,1298.25534131,146.019869972,h_2_1:bc0224
MoMacDC,healthy,Healthy 2,h_2_3,bc0183,round3_20160313,2730,3.187,MF_PPAR-_Lu,Mac4,1272.57276718,169.860241976,h_2_3:bc0183
MoMacDC,healthy,Healthy 2,h_2_3,bc0012,round3_20160313,5390,5.139,MF_Lu,Mac4,1303.59430201,152.710019559,h_2_3:bc0012
MoMacDC,healthy,Healthy 1,h_1_1,bc0509,round1_20151128,4177,2.753,MF_Lu,Mac4,1314.8480422,93.1855377124,h_1_1:bc0509
MoMacDC,healthy,Healthy 2,h_2_3,bc0628,round3_20160313,2250,3.467,Mo_6C-IIint_Bl,Mono2,1550.7139596,-290.027836169,h_2_3:bc0628
MoMacDC,healthy,Healthy 2,h_2_3,bc0143,round3_20160313,3439,5.496,Mo_Lu,Mono1,1454.31536574,-118.51217183,h_2_3:bc0143
MoMacDC,healthy,Healthy 1,h_1_2,bc0102,round3_20160313,3855,1.401,Mo_6C-IIint_Bl,Mono2,1506.75858352,-276.084921071,h_1_2:bc0102
MoMacDC,healthy,Healthy 2,h_2_3,bc0041,round3_20160313,4027,4.569,DC_103+11b-_Lu,DC2,1036.08374803,-73.0680736661,h_2_3:bc0041
MoMacDC,healthy,Healthy 2,h_2_3,bc0402,round3_20160313,2647,2.871,MF_Lu,Mac4,1299.33139443,167.767186768,h_2_3:bc0402
MoMacDC,healthy,Healthy 1,h_1_1,bc0180,round1_20151128,6683,2.559,Mo_Lu,Mono1,1450.97728857,-96.6299715417,h_1_1:bc0180
MoMacDC,healthy,Healthy 2,h_2_3,bc0022,round3_20160313,4654,5.372,MF_PPAR-_Lu,Mac4,1297.14910777,159.797430246,h_2_3:bc0022
MoMacDC,healthy,Healthy 2,h_2_3,bc0191,round3_20160313,2440,2.746,Mo_Lu,Mono1,1446.07014209,-157.34584496,h_2_3:bc0191
MoMacDC,healthy,Healthy 2,h_2_1,bc1289,round2_20151217,1336,4.117,Mo_6C-IIint_Bl,Mono2,1561.00089688,-313.64067312,h_2_1:bc1289
MoMacDC,healthy,Healthy 2,h_2_3,bc0334,round3_20160313,2347,7.073,Mo_6C-II+_Bl,MonoDC,1200.34834453,-44.7107758126,h_2_3:bc0334
MoMacDC,healthy,Healthy 2,h_2_2,bc217,round3_20160313,2926,6.63,Mo_Lu,Mono1,1463.26143232,-112.442484164,h_2_2:bc217
MoMacDC,healthy,Healthy 2,h_2_1,bc0205,round2_20151217,2831,0.848,Mo_6C+II-_LN,Mono3,1363.7003891,-261.752427144,h_2_1:bc0205
MoMacDC,healthy,Healthy 1,h_1_2,bc1052,round3_20160313,1330,5.865,Mo_6C-II-_Bl,Mono2,1450.91805973,-311.760571897,h_1_2:bc1052
MoMacDC,healthy,Healthy 2,h_2_1,bc0246,round2_20151217,3907,1.561,Mo_6C+II-_LN,Mono1,1422.34813109,-131.82019234,h_2_1:bc0246
MoMacDC,healthy,Healthy 2,h_2_2,bc674,round3_20160313,2152,4.972,MF_II+480lo_PC,Mono1,1404.82946968,-102.79834459,h_2_2:bc674
MoMacDC,healthy,Healthy 2,h_2_2,bc642,round3_20160313,1514,3.236,Mo_6C-II-_Bl,Mono2,1547.78072458,-303.542660772,h_2_2:bc642
MoMacDC,healthy,Healthy 1,h_1_2,bc1281,round3_20160313,1072,2.892,Mo_6C-II-_Bl,Mono2,1476.87838019,-309.770442427,h_1_2:bc1281
MoMacDC,healthy,Healthy 2,h_2_1,bc0524,round2_20151217,2677,1.718,Mo_6C+II-_LN,Mono1,1416.10564413,-107.860206858,h_2_1:bc0524
MoMacDC,healthy,Healthy 2,h_2_1,bc1272,round2_20151217,1545,0.647,Mo_6C-II-_Bl,Mono2,1548.18892805,-300.605484727,h_2_1:bc1272
MoMacDC,healthy,Healthy 2,h_2_3,bc0027,round3_20160313,4949,2.425,MF_PPAR-_Lu,Mac4,1262.64863375,170.029525227,h_2_3:bc0027
MoMacDC,healthy,Healthy 2,h_2_2,bc480,round3_20160313,2299,2.479,MF_PPAR-_Lu,Mac4,1247.37878171,170.43131831,h_2_2:bc480
MoMacDC,healthy,Healthy 2,h_2_3,bc0076,round3_20160313,4383,4.495,Mo_Lu,Mono1,1444.11361769,-126.464290309,h_2_3:bc0076
MoMacDC,healthy,Healthy 2,h_2_3,bc0061,round3_20160313,4241,5.305,MF_II+480lo_PC,Mono1,1455.6936778,-109.316500038,h_2_3:bc0061
MoMacDC,healthy,Healthy 2,h_2_3,bc0171,round3_20160313,4637,5.046,MF_Lu,Mac4,1292.16450732,162.476307994,h_2_3:bc0171
MoMacDC,healthy,Healthy 2,h_2_3,bc0172,round3_20160313,2797,1.43,Mo_Lu,Mono1,1458.55356118,-191.452170859,h_2_3:bc0172
MoMacDC,healthy,Healthy 1,h_1_2,bc0092,round3_20160313,3033,3.693,Mo_6C+II-_LN,Mono3,1420.75455918,-312.886964559,h_1_2:bc0092
MoMacDC,healthy,Healthy 2,h_2_2,bc013,round3_20160313,7438,7.489,Mo_Lu,Mono1,1461.46975146,-91.2206681734,h_2_2:bc013
MoMacDC,healthy,Healthy 2,h_2_1,bc0282,round2_20151217,2847,1.054,Mo_6C+II-_LN,Mono1,1429.09504918,-123.009185747,h_2_1:bc0282
MoMacDC,healthy,Healthy 2,h_2_2,bc256,round3_20160313,2427,4.12,Mo_6C-IIint_Bl,Mono2,1522.01968014,-275.631082105,h_2_2:bc256
MoMacDC,healthy,Healthy 2,h_2_1,bc0561,round2_20151217,2203,1.089,Mo_6C-II-_Bl,Mono2,1458.64231925,-296.143437688,h_2_1:bc0561
MoMacDC,healthy,Healthy 1,h_1_2,bc1240,round3_20160313,1465,4.642,Mo_6C-IIint_Bl,Mono2,1517.41905376,-274.642971416,h_1_2:bc1240
MoMacDC,healthy,Healthy 2,h_2_2,bc744,round3_20160313,2001,5.897,MF_PPAR-_Lu,Mac4,1265.30371289,178.225757237,h_2_2:bc744
MoMacDC,healthy,Healthy 1,h_1_2,bc0129,round3_20160313,3512,7.375,MF_Lu,Mac4,1311.99046209,162.049127875,h_1_2:bc0129
MoMacDC,healthy,Healthy 1,h_1_1,bc0041,round1_20151128,8836,2.694,MF_Lu,Mac4,1297.14072384,140.651105115,h_1_1:bc0041
MoMacDC,healthy,Healthy 2,h_2_1,bc0208,round2_20151217,3069,1.694,Mo_6C+II-_LN,Mono3,1388.61808048,-247.051733515,h_2_1:bc0208
MoMacDC,healthy,Healthy 2,h_2_1,bc1321,round2_20151217,1359,0.147,MF_PPAR-_Lu,Mac4,1299.30945817,157.011348958,h_2_1:bc1321
MoMacDC,healthy,Healthy 2,h_2_3,bc0032,round3_20160313,4344,4.19,MF_PPAR-_Lu,Mac4,1302.27920873,162.210298556,h_2_3:bc0032
MoMacDC,healthy,Healthy 1,h_1_1,bc0857,round1_20151128,3169,0.379,Mo_6C-IIint_Bl,Mono2,1468.31104164,-291.92849273,h_1_1:bc0857
MoMacDC,healthy,Healthy 2,h_2_1,bc0112,round2_20151217,3858,1.503,MF_PPAR-_Lu,Mac4,1259.69944219,167.300081158,h_2_1:bc0112
MoMacDC,healthy,Healthy 2,h_2_2,bc285,round3_20160313,2696,4.117,Mo_Lu,Mono1,1452.5016562,-115.679763775,h_2_2:bc285
MoMacDC,healthy,Healthy 2,h_2_3,bc0026,round3_20160313,7846,7.405,MF_Lu,Mac4,1266.11398174,168.450912023,h_2_3:bc0026
MoMacDC,healthy,Healthy 2,h_2_3,bc0033,round3_20160313,4797,6.045,DC_103+11b-_Lu,DC1,1058.45175169,-26.7953784503,h_2_3:bc0033
MoMacDC,healthy,Healthy 1,h_1_2,bc0436,round3_20160313,1976,2.075,Mo_6C+II-_LN,Mono3,1444.6338265,-235.338806986,h_1_2:bc0436
MoMacDC,healthy,Healthy 1,h_1_2,bc0031,round3_20160313,4227,3.88,MF_II+480lo_PC,Mono1,1457.33759755,-91.9895542317,h_1_2:bc0031
MoMacDC,healthy,Healthy 2,h_2_3,bc0603,round3_20160313,2372,3.12,MF_Lu,Mac4,1278.44044027,173.871452248,h_2_3:bc0603
MoMacDC,healthy,Healthy 2,h_2_2,bc782,round3_20160313,1414,0,DC_IIhilang-103-11b+_SLN,DC3,655.323965851,-40.5206220187,h_2_2:bc782
MoMacDC,healthy,Healthy 1,h_1_1,bc0595,round1_20151128,3925,1.248,GN_Arth_SynF,Mono3,1407.64124029,-325.825372013,h_1_1:bc0595
MoMacDC,healthy,Healthy 1,h_1_1,bc0434,round1_20151128,4519,5.067,MF_II+480lo_PC,Mono1,1378.71462983,-159.467922909,h_1_1:bc0434
MoMacDC,healthy,Healthy 1,h_1_2,bc0258,round3_20160313,2635,6.717,Mo_6C-IIint_Bl,Mono2,1510.04690732,-297.590598139,h_1_2:bc0258
MoMacDC,healthy,Healthy 1,h_1_1,bc0206,round1_20151128,3592,1.921,Mo_6C-II-_Bl,Mono2,1498.2312333,-299.16198195,h_1_1:bc0206
MoMacDC,healthy,Healthy 1,h_1_2,bc0073,round3_20160313,3449,3.073,Mo_Lu,Mono1,1438.81955916,-106.206041469,h_1_2:bc0073
MoMacDC,healthy,Healthy 2,h_2_3,bc0728,round3_20160313,2233,2.463,MF_Lu,Mac4,1283.60537043,161.555733669,h_2_3:bc0728
MoMacDC,healthy,Healthy 1,h_1_1,bc1381,round1_20151128,2564,0.39,Mo_6C-II-_Bl,Mono2,1536.85985929,-304.696450553,h_1_1:bc1381
MoMacDC,healthy,Healthy 1,h_1_2,bc0009,round3_20160313,5217,5.885,MF_Lu,Mac4,1322.45472262,107.102620737,h_1_2:bc0009
MoMacDC,healthy,Healthy 2,h_2_3,bc1268,round3_20160313,1652,5.266,MF_Lu,Mac4,1287.25552219,174.991859481,h_2_3:bc1268
MoMacDC,healthy,Healthy 1,h_1_2,bc0187,round3_20160313,2057,4.764,Mo_6C-IIint_Bl,Mono2,1461.69859463,-283.813098603,h_1_2:bc0187
MoMacDC,healthy,Healthy 2,h_2_3,bc0004,round3_20160313,5975,4.435,MF_Lu,Mac4,1318.80358484,124.09087289,h_2_3:bc0004
MoMacDC,healthy,Healthy 1,h_1_2,bc0048,round3_20160313,5687,4.8,Mo_Lu,Mono1,1455.74945268,-158.262502197,h_1_2:bc0048
MoMacDC,healthy,Healthy 1,h_1_1,bc0121,round1_20151128,6738,1.083,GN_Arth_SynF,Mono3,1377.03451299,-319.238143162,h_1_1:bc0121
MoMacDC,healthy,Healthy 2,h_2_1,bc0696,round2_20151217,2412,2.902,Mo_6C+II-_LN,Mono3,1389.65721281,-129.838068673,h_2_1:bc0696
MoMacDC,healthy,Healthy 1,h_1_2,bc0044,round3_20160313,3878,4.616,Mo_6C+II-_LN,MonoDC,1153.43460757,-46.4242538955,h_1_2:bc0044
MoMacDC,healthy,Healthy 1,h_1_2,bc0088,round3_20160313,2748,1.82,GN_Arth_SynF,Mono3,1438.82582388,-322.133561889,h_1_2:bc0088
MoMacDC,healthy,Healthy 2,h_2_2,bc179,round3_20160313,4115,6.464,Mo_6C-II+_Bl,MonoDC,1158.4598705,-40.4743673704,h_2_2:bc179
MoMacDC,healthy,Healthy 2,h_2_1,bc0297,round2_20151217,3751,0.96,Mo_6C+II-_LN,Mono1,1431.1510979,-141.803210421,h_2_1:bc0297
MoMacDC,healthy,Healthy 2,h_2_2,bc025,round3_20160313,4298,2.839,MF_PPAR-_Lu,Mac4,1313.09171285,144.781257996,h_2_2:bc025
MoMacDC,healthy,Healthy 2,h_2_1,bc0716,round2_20151217,2720,1.36,MF_Lu,Mac4,1321.04257851,99.7609719476,h_2_1:bc0716
MoMacDC,healthy,Healthy 2,h_2_1,bc1184,round2_20151217,1315,0.76,GN_Thio_PC,Mono3,1454.44930863,-317.46358694,h_2_1:bc1184
MoMacDC,healthy,Healthy 2,h_2_1,bc0599,round2_20151217,2494,1.724,MF_PPAR-_Lu,Mac4,1240.65278207,173.213188999,h_2_1:bc0599
MoMacDC,healthy,Healthy 2,h_2_3,bc0195,round3_20160313,3407,3.669,Mo_6C+II-_LN,Mono2,1477.9985165,-271.084756675,h_2_3:bc0195
MoMacDC,healthy,Healthy 2,h_2_3,bc0054,round3_20160313,5748,4.889,MF_Lu,Mac4,1275.82627604,171.229875256,h_2_3:bc0054
MoMacDC,healthy,Healthy 1,h_1_1,bc0222,round1_20151128,5286,1.589,Mo_6C+II-_LN,Mono3,1425.48136209,-301.704979907,h_1_1:bc0222
MoMacDC,healthy,Healthy 2,h_2_2,bc741,round3_20160313,1614,6.01,MF_PPAR-_Lu,Mac4,1300.43104258,159.21059953,h_2_2:bc741
MoMacDC,healthy,Healthy 1,h_1_1,bc0200,round1_20151128,5419,2.713,MF_II+480lo_PC,Mono1,1431.84012131,-99.1454413786,h_1_1:bc0200
MoMacDC,healthy,Healthy 1,h_1_2,bc0155,round3_20160313,3078,3.996,GN_Arth_SynF,Mono3,1422.97159996,-318.92977647,h_1_2:bc0155
MoMacDC,healthy,Healthy 1,h_1_2,bc0121,round3_20160313,3286,6.178,Mo_6C+II-_LN,MonoDC,1208.14785309,-52.5680456176,h_1_2:bc0121
MoMacDC,healthy,Healthy 2,h_2_1,bc1478,round2_20151217,1044,0,Mo_6C-II+_Bl,DC2,683.861218886,3.93802988365,h_2_1:bc1478
MoMacDC,healthy,Healthy 2,h_2_1,bc0160,round2_20151217,2992,1.07,MF_PPAR-_Lu,Mac4,1298.09786217,121.600654849,h_2_1:bc0160
MoMacDC,healthy,Healthy 1,h_1_2,bc0209,round3_20160313,2981,1.543,Mo_6C-IIint_Bl,Mono2,1506.22251692,-279.392703113,h_1_2:bc0209
MoMacDC,healthy,Healthy 1,h_1_2,bc0386,round3_20160313,2336,7.962,MF_II+480lo_PC,Mono1,1445.18281907,-106.231291386,h_1_2:bc0386
MoMacDC,healthy,Healthy 2,h_2_1,bc0966,round2_20151217,1555,1.158,Mo_6C-II-_Bl,Mono2,1490.88847345,-301.604689738,h_2_1:bc0966
MoMacDC,healthy,Healthy 2,h_2_3,bc0001,round3_20160313,15064,4.833,MF_PPAR-_Lu,Mac4,1282.85457057,50.3346157081,h_2_3:bc0001
MoMacDC,healthy,Healthy 2,h_2_1,bc1262,round2_20151217,1525,0.393,MF_PPAR-_Lu,Mac4,1321.09381662,125.681805582,h_2_1:bc1262
MoMacDC,healthy,Healthy 2,h_2_2,bc087,round3_20160313,3489,2.178,MF_PPAR-_Lu,Mac4,1258.57137421,175.314030323,h_2_2:bc087
MoMacDC,healthy,Healthy 1,h_1_2,bc0049,round3_20160313,4989,6.314,Mo_Lu,Mono1,1439.90512445,-113.099937956,h_1_2:bc0049
MoMacDC,healthy,Healthy 2,h_2_3,bc0547,round3_20160313,2048,5.127,Mo_6C-IIint_Bl,Mono2,1527.50348449,-304.186359195,h_2_3:bc0547
MoMacDC,healthy,Healthy 2,h_2_2,bc062,round3_20160313,3841,4.634,MF_Lu,Mac4,1285.52132072,164.209805831,h_2_2:bc062
MoMacDC,healthy,Healthy 1,h_1_1,bc1489,round1_20151128,2179,1.882,Mo_6C-II-_Bl,Mono2,1472.01848141,-295.04396637,h_1_1:bc1489
MoMacDC,healthy,Healthy 2,h_2_1,bc0399,round2_20151217,3108,0.579,MF_PPAR-_Lu,Mac4,1295.45187333,125.579070043,h_2_1:bc0399
MoMacDC,healthy,Healthy 2,h_2_2,bc470,round3_20160313,1753,3.822,Mo_6C-II-_Bl,Mono2,1542.13207851,-298.85219117,h_2_2:bc470
MoMacDC,healthy,Healthy 1,h_1_1,bc0933,round1_20151128,4317,3.058,MF_II+480lo_PC,Mac1,1279.78030608,-134.695416246,h_1_1:bc0933
MoMacDC,healthy,Healthy 2,h_2_1,bc0045,round2_20151217,3927,1.579,Mo_6C-II-_Bl,Mono2,1543.78198205,-300.063645721,h_2_1:bc0045
MoMacDC,healthy,Healthy 1,h_1_2,bc0052,round3_20160313,3159,1.931,GN_Arth_SynF,Mono3,1414.1724817,-323.371908857,h_1_2:bc0052
MoMacDC,healthy,Healthy 2,h_2_2,bc151,round3_20160313,3212,2.989,Mo_6C+II-_LN,Mono2,1483.70535029,-275.663613351,h_2_2:bc151
MoMacDC,healthy,Healthy 2,h_2_2,bc224,round3_20160313,2744,1.895,GN_Bl,Mono3,1442.61206153,-322.509895224,h_2_2:bc224
MoMacDC,healthy,Healthy 2,h_2_3,bc0765,round3_20160313,1887,3.71,Mo_6C-II-_Bl,Mono2,1515.62682784,-295.330425056,h_2_3:bc0765
MoMacDC,healthy,Healthy 1,h_1_1,bc0441,round1_20151128,3434,3.436,Mo_6C-IIint_Bl,Mono2,1449.36116293,-298.755303229,h_1_1:bc0441
MoMacDC,healthy,Healthy 2,h_2_1,bc0020,round2_20151217,4329,4.597,Mo_6C+II-_LN,Mono1,1386.50343243,-165.128606157,h_2_1:bc0020
MoMacDC,healthy,Healthy 2,h_2_1,bc0677,round2_20151217,2475,1.131,Mo_6C-II-_Bl,Mono2,1512.14631064,-303.236464076,h_2_1:bc0677
MoMacDC,healthy,Healthy 1,h_1_1,bc0153,round1_20151128,4782,2.509,MF_PPAR-_Lu,Mac4,1299.26501502,69.8246872545,h_1_1:bc0153
MoMacDC,healthy,Healthy 2,h_2_3,bc0008,round3_20160313,7830,6.45,DC_103-11b+24+_Lu,MonoDC,1196.84675466,-50.7343092235,h_2_3:bc0008
